epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,492.726,0.83013,0.83156,1.46829,0.01455,0.467,0.84733,0.82609,0.89699,0.59496,0.89233,0.86957,0.9493,0.60368,1.09601,1.42806,2.60766,0.03448,0,0.0009308,0.0009308,0.0009308
29,509.236,0.89755,1.14879,1.50922,0.01507,1.05648,0.90099,0.86957,0.95706,0.65789,0.90099,0.86957,0.95706,0.62704,1.04585,1.38065,2.4344,0.03287,0,0.0008912,0.0008912,0.0008912
30,526.053,0.78005,0.98728,1.46009,0.01337,0.7068,0.99436,0.86957,0.97965,0.73169,0.99436,0.86957,0.97965,0.67899,1.013,1.32558,2.16831,0.03265,0,0.0008516,0.0008516,0.0008516
31,543.057,0.83354,0.84472,1.53387,0.01734,0.39505,0.85161,0.91304,0.96222,0.70642,0.85161,0.91304,0.96222,0.7367,1.04129,1.20179,2.21952,0.03651,0,0.000812,0.000812,0.000812
32,560.488,0.8831,0.87563,1.40541,0.01567,0.47081,0.88468,0.91304,0.95727,0.69934,0.88468,0.91304,0.95727,0.73329,1.05497,1.22794,2.21041,0.03733,0,0.0007724,0.0007724,0.0007724
33,577.248,0.97116,0.86611,1.39062,0.01612,0.44823,1,0.82155,0.9722,0.74265,1,0.82155,0.9722,0.69967,0.94233,1.24967,2.05589,0.03048,0,0.0007328,0.0007328,0.0007328
34,594.022,0.83324,0.92179,1.29344,0.01395,0.56827,0.98314,0.86957,0.96471,0.69633,0.98314,0.86957,0.96471,0.70556,1.12138,1.23688,2.09724,0.0379,0,0.0006932,0.0006932,0.0006932
35,610.932,0.77567,1.12452,1.38958,0.01426,0.58567,0.98427,0.91304,0.95416,0.69827,0.98427,0.91304,0.95297,0.684,1.12056,1.55024,2.25482,0.03858,0,0.0006536,0.0006536,0.0006536
36,632.08,0.81296,0.93211,1.28727,0.01355,0.65337,0.93598,0.82609,0.93731,0.70452,0.87998,0.78261,0.88609,0.63993,0.95874,1.98468,2.25539,0.03294,0,0.000614,0.000614,0.000614
37,651.038,0.69187,0.83591,1.16796,0.01229,0.51314,0.9533,0.88812,0.94443,0.69523,0.90661,0.84464,0.89686,0.65828,1.01715,1.85474,2.25142,0.03628,0,0.0005744,0.0005744,0.0005744
38,668.835,0.73254,0.74258,1.20074,0.0124,0.53325,0.89356,0.91304,0.93616,0.68931,0.85049,0.86957,0.89149,0.66172,1.09878,1.89967,2.21443,0.04136,0,0.0005348,0.0005348,0.0005348
39,686.11,0.62004,0.84175,1.08798,0.01084,0.54345,1,0.81537,0.93222,0.69624,1,0.81537,0.89364,0.65906,1.11345,1.95459,2.23562,0.04097,0,0.0004952,0.0004952,0.0004952
40,703.283,0.70504,0.89023,1.15338,0.01088,0.4997,0.98198,0.82609,0.94191,0.69427,0.98198,0.82609,0.90214,0.64999,1.16572,2.08867,2.15679,0.04209,0,0.0004556,0.0004556,0.0004556
41,719.851,0.70201,0.72488,2.26889,0.01985,0.86547,1,0.8467,0.94317,0.7132,1,0.81777,0.87429,0.65337,1.09872,2.12843,2.13338,0.04013,0,0.000416,0.000416,0.000416
42,736.113,0.64406,0.64611,2.1583,0.01802,0.54545,0.97104,0.82609,0.94504,0.70788,1,0.77831,0.8733,0.62629,1.02963,2.04257,2.13151,0.03696,0,0.0003764,0.0003764,0.0003764
43,752.296,0.59592,0.54391,1.99929,0.01683,0.50465,0.99169,0.86957,0.95062,0.69976,0.99169,0.86957,0.93651,0.62931,1.0141,1.85072,2.00756,0.03582,0,0.0003368,0.0003368,0.0003368
44,768.405,0.56247,0.60892,1.9705,0.01554,0.42682,0.80494,0.82609,0.87542,0.64978,0.80494,0.82609,0.85359,0.60616,0.88917,1.54271,2.12534,0.02971,0,0.0002972,0.0002972,0.0002972
45,784.238,0.6194,0.59182,2.01175,0.01433,0.42831,0.86528,0.86957,0.85384,0.63924,0.86528,0.86957,0.85318,0.61137,0.9299,1.49109,2.1602,0.03073,0,0.0002576,0.0002576,0.0002576
46,800.639,0.60747,0.61898,1.95082,0.01801,0.48608,0.86811,0.85888,0.86242,0.63088,0.86811,0.85888,0.86176,0.62055,0.94338,1.47838,2.14686,0.03154,0,0.000218,0.000218,0.000218
47,817.18,0.59423,0.54715,1.91362,0.01519,0.48661,0.89212,0.82609,0.86549,0.64015,0.89212,0.82609,0.86442,0.6206,0.93264,1.46744,2.10702,0.03116,0,0.0001784,0.0001784,0.0001784
48,833.434,0.58902,0.64663,1.92273,0.01687,0.43108,0.90823,0.86088,0.87612,0.65784,0.90823,0.86088,0.87391,0.62398,0.97472,1.44578,1.93121,0.03274,0,0.0001388,0.0001388,0.0001388
49,849.684,0.57757,0.50841,1.90808,0.01597,0.4424,0.90859,0.86456,0.87553,0.65808,0.90859,0.86456,0.87458,0.62586,0.96892,1.46784,1.94489,0.03211,0,9.92e-05,9.92e-05,9.92e-05
50,865.729,0.59385,0.76439,1.8592,0.01808,0.48643,0.90226,0.86957,0.87294,0.65506,0.90226,0.86957,0.87221,0.62621,0.97159,1.46325,1.95845,0.03211,0,5.96e-05,5.96e-05,5.96e-05
